@relation irisORIG_clustered

@attribute Instance_number numeric
@attribute 150 numeric
@attribute 4 numeric
@attribute setosa numeric
@attribute versicolor numeric
@attribute virginica {0,1,2}
@attribute Cluster {cluster0,cluster1,cluster2}

@data
60,5,2,3.5,1,1,cluster1
61,5.9,3,4.2,1.5,1,cluster1
62,6,2.2,4,1,1,cluster1
63,6.1,2.9,4.7,1.4,1,cluster1
64,5.6,2.9,3.6,1.3,1,cluster1
65,6.7,3.1,4.4,1.4,1,cluster1
66,5.6,3,4.5,1.5,1,cluster1
67,5.8,2.7,4.1,1,1,cluster1
68,6.2,2.2,4.5,1.5,1,cluster1
69,5.6,2.5,3.9,1.1,1,cluster1
70,5.9,3.2,4.8,1.8,1,cluster1
71,6.1,2.8,4,1.3,1,cluster1
72,6.3,2.5,4.9,1.5,1,cluster1
73,6.1,2.8,4.7,1.2,1,cluster1
74,6.4,2.9,4.3,1.3,1,cluster1
75,6.6,3,4.4,1.4,1,cluster1
76,6.8,2.8,4.8,1.4,1,cluster1
77,6.7,3,5,1.7,1,cluster1
78,6,2.9,4.5,1.5,1,cluster1
79,5.7,2.6,3.5,1,1,cluster1
80,5.5,2.4,3.8,1.1,1,cluster1
81,5.5,2.4,3.7,1,1,cluster1
82,5.8,2.7,3.9,1.2,1,cluster1
83,6,2.7,5.1,1.6,1,cluster1
84,5.4,3,4.5,1.5,1,cluster1
85,6,3.4,4.5,1.6,1,cluster1
86,6.7,3.1,4.7,1.5,1,cluster1
87,6.3,2.3,4.4,1.3,1,cluster1
88,5.6,3,4.1,1.3,1,cluster1
89,5.5,2.5,4,1.3,1,cluster1
90,5.5,2.6,4.4,1.2,1,cluster1
91,6.1,3,4.6,1.4,1,cluster1
92,5.8,2.6,4,1.2,1,cluster1
93,5,2.3,3.3,1,1,cluster1
94,5.6,2.7,4.2,1.3,1,cluster1
95,5.7,3,4.2,1.2,1,cluster1
96,5.7,2.9,4.2,1.3,1,cluster1
97,6.2,2.9,4.3,1.3,1,cluster1
98,5.1,2.5,3,1.1,1,cluster1
99,5.7,2.8,4.1,1.3,1,cluster1
100,6.3,3.3,6,2.5,2,cluster0
101,5.8,2.7,5.1,1.9,2,cluster0
102,7.1,3,5.9,2.1,2,cluster0
103,6.3,2.9,5.6,1.8,2,cluster0
104,6.5,3,5.8,2.2,2,cluster0
105,7.6,3,6.6,2.1,2,cluster0
106,4.9,2.5,4.5,1.7,2,cluster1
107,7.3,2.9,6.3,1.8,2,cluster0
108,6.7,2.5,5.8,1.8,2,cluster0
109,7.2,3.6,6.1,2.5,2,cluster0
110,6.5,3.2,5.1,2,2,cluster0
111,6.4,2.7,5.3,1.9,2,cluster0
112,6.8,3,5.5,2.1,2,cluster0
113,5.7,2.5,5,2,2,cluster0
114,5.8,2.8,5.1,2.4,2,cluster0
115,6.4,3.2,5.3,2.3,2,cluster0
116,6.5,3,5.5,1.8,2,cluster0
117,7.7,3.8,6.7,2.2,2,cluster0
118,7.7,2.6,6.9,2.3,2,cluster0
119,6,2.2,5,1.5,2,cluster1
120,6.9,3.2,5.7,2.3,2,cluster0
121,5.6,2.8,4.9,2,2,cluster0
122,7.7,2.8,6.7,2,2,cluster0
123,6.3,2.7,4.9,1.8,2,cluster0
124,6.7,3.3,5.7,2.1,2,cluster0
125,7.2,3.2,6,1.8,2,cluster0
126,6.2,2.8,4.8,1.8,2,cluster0
127,6.1,3,4.9,1.8,2,cluster0
128,6.4,2.8,5.6,2.1,2,cluster0
129,7.2,3,5.8,1.6,2,cluster0
130,7.4,2.8,6.1,1.9,2,cluster0
131,7.9,3.8,6.4,2,2,cluster0
132,6.4,2.8,5.6,2.2,2,cluster0
133,6.3,2.8,5.1,1.5,2,cluster0
134,6.1,2.6,5.6,1.4,2,cluster0
135,7.7,3,6.1,2.3,2,cluster0
136,6.3,3.4,5.6,2.4,2,cluster0
137,6.4,3.1,5.5,1.8,2,cluster0
138,6,3,4.8,1.8,2,cluster0
139,6.9,3.1,5.4,2.1,2,cluster0
140,6.7,3.1,5.6,2.4,2,cluster0
141,6.9,3.1,5.1,2.3,2,cluster0
142,5.8,2.7,5.1,1.9,2,cluster0
143,6.8,3.2,5.9,2.3,2,cluster0
144,6.7,3.3,5.7,2.5,2,cluster0
145,6.7,3,5.2,2.3,2,cluster0
146,6.3,2.5,5,1.9,2,cluster0
147,6.5,3,5.2,2,2,cluster0
148,6.2,3.4,5.4,2.3,2,cluster0
149,5.9,3,5.1,1.8,2,cluster0
